Bezeichnung Auftragskonto;IBAN Auftragskonto;BIC Auftragskonto;Bankname Auftragskonto;Buchungstag;Valutadatum;Name Zahlungsbeteiligter;IBAN Zahlungsbeteiligter;BIC (SWIFT-Code) Zahlungsbeteiligter;Buchungstext;Verwendungszweck;Betrag;Waehrung;Saldo nach Buchung;Bemerkung;Gekennzeichneter Umsatz;Glaeubiger ID;Mandatsreferenz
Musterbank Privatkonto;DE89370400440532013000;COBADEFFXXX;Commerzbank AG;15.03.2025;15.03.2025;Beispiel Mietverwaltung;DE89370400440532013008;COBADEFFXXX;Basislastschrift;Miete März 2025 EREF: MIE20250315-001 MREF: MRN20250315004 CRED: DE89ZZZ00000045678 IBAN: DE89370400440532013008 BIC: COBADEFFXXX ABWA: Beispiel Mietverwaltung;-650,00;EUR;4447,09;;;DE89ZZZ00000045678;MRN20250315004
Musterbank Privatkonto;DE89370400440532013000;COBADEFFXXX;Commerzbank AG;10.03.2025;10.03.2025;Muster Steuerberatung;DE89370400440532013009;COBADEFFXXX;Überweisungsauftrag;Steuerberatung Q1/2025 TAN: 567890 IBAN: DE89370400440532013009 BIC: COBADEFFXXX;-350,00;EUR;5097,09;;;;
Musterbank Privatkonto;DE89370400440532013000;COBADEFFXXX;Commerzbank AG;05.03.2025;05.03.2025;Beispiel Marketing Agentur;DE89370400440532013010;COBADEFFXXX;Überweisungsgutschr.;Zahlungseingang Marketingkampagne 2025;1800,00;EUR;5447,09;;;;
Musterbank Privatkonto;DE89370400440532013000;COBADEFFXXX;Commerzbank AG;28.02.2025;28.02.2025;;;;Abschluss;Abschluss per 28.02.2025;-0,80;EUR;3647,09;;;;
Musterbank Privatkonto;DE89370400440532013000;COBADEFFXXX;Commerzbank AG;25.02.2025;25.02.2025;Muster Bankkarte;DE89370400440532013000;COBADEFFXXX;Entgelt/Auslagen;Jahresgebühr Bankkarte 2025;-15,00;EUR;3647,89;;;;
Musterbank Privatkonto;DE89370400440532013000;COBADEFFXXX;Commerzbank AG;20.02.2025;20.02.2025;Beispiel IT Services;DE89370400440532013011;COBADEFFXXX;Überweisungsauftrag;IT-Wartung Februar 2025 TAN: 234567 IBAN: DE89370400440532013011 BIC: COBADEFFXXX;-280,00;EUR;3662,89;;;;
Musterbank Privatkonto;DE89370400440532013000;COBADEFFXXX;Commerzbank AG;15.02.2025;15.02.2025;Muster Werbeagentur;DE89370400440532013012;COBADEFFXXX;Überweisungsgutschr.;Zahlungseingang Werbekampagne Q1;950,00;EUR;3942,89;;;;
Musterbank Privatkonto;DE89370400440532013000;COBADEFFXXX;Commerzbank AG;10.02.2025;10.02.2025;Beispiel Reinigungsdienst;DE89370400440532013013;COBADEFFXXX;Basislastschrift;Reinigungsdienst Februar 2025 EREF: REI20250210-001 MREF: MRN20250210005 CRED: DE89ZZZ00000056789 IBAN: DE89370400440532013013 BIC: COBADEFFXXX ABWA: Beispiel Reinigungsdienst;-120,00;EUR;2992,89;;;DE89ZZZ00000056789;MRN20250210005
Musterbank Privatkonto;DE89370400440532013000;COBADEFFXXX;Commerzbank AG;05.02.2025;05.02.2025;Muster Rechtsanwaltskanzlei;DE89370400440532013014;COBADEFFXXX;Überweisungsauftrag;Rechtsberatung Januar 2025 TAN: 678901 IBAN: DE89370400440532013014 BIC: COBADEFFXXX;-450,00;EUR;3112,89;;;;
Musterbank Privatkonto;DE89370400440532013000;COBADEFFXXX;Commerzbank AG;31.01.2025;31.01.2025;;;;Abschluss;Abschluss per 31.01.2025;-1,50;EUR;3562,89;;;;
Musterbank Privatkonto;DE89370400440532013000;COBADEFFXXX;Commerzbank AG;28.01.2025;28.01.2025;Beispiel Buchhaltung;DE89370400440532013015;COBADEFFXXX;Überweisungsauftrag;Buchhaltungsdienst Januar 2025 TAN: 112233 IBAN: DE89370400440532013015 BIC: COBADEFFXXX;-200,00;EUR;3564,39;;;;
Musterbank Privatkonto;DE89370400440532013000;COBADEFFXXX;Commerzbank AG;25.01.2025;25.01.2025;Muster Kunden GmbH;DE89370400440532013016;COBADEFFXXX;Überweisungsgutschr.;Zahlungseingang Projekt 2025-001;2500,00;EUR;3764,39;;;;
Musterbank Privatkonto;DE89370400440532013000;COBADEFFXXX;Commerzbank AG;20.01.2025;20.01.2025;Beispiel Lieferant AG;DE89370400440532013017;COBADEFFXXX;Überweisungsauftrag;Warenlieferung Bestellung 2025-0456 TAN: 445566 IBAN: DE89370400440532013017 BIC: COBADEFFXXX;-890,50;EUR;1264,39;;;;
Musterbank Privatkonto;DE89370400440532013000;COBADEFFXXX;Commerzbank AG;15.01.2025;15.01.2025;Muster Versicherung AG;DE89370400440532013002;COBADEFFXXX;Basislastschrift;Monatliche Versicherungsprämie 01/2025 EREF: REF20250115-002 MREF: MRN20250115006 CRED: DE89ZZZ00000012345 IBAN: DE89370400440532013002 BIC: COBADEFFXXX ABWA: Muster Versicherung AG;-89,50;EUR;2154,89;;;DE89ZZZ00000012345;MRN20250115006
Musterbank Privatkonto;DE89370400440532013000;COBADEFFXXX;Commerzbank AG;10.01.2025;10.01.2025;Beispiel Dienstleister;DE89370400440532013018;COBADEFFXXX;Überweisungsgutschr.;Zahlungseingang Serviceleistung 2025-0123;650,00;EUR;2244,39;;;;
Musterbank Privatkonto;DE89370400440532013000;COBADEFFXXX;Commerzbank AG;05.01.2025;05.01.2025;Muster Bankkarte;DE89370400440532013000;COBADEFFXXX;SB-Einzahlung;Einzahlung am 05.01.2025/14:30 girocard GA 89370400/00001234/00726689370400/0154230105/0/1228;500,00;EUR;1594,39;;;;
Musterbank Privatkonto;DE89370400440532013000;COBADEFFXXX;Commerzbank AG;02.01.2025;02.01.2025;Beispiel Jahresgebühr;DE89370400440532013000;COBADEFFXXX;Entgelt/Auslagen;Jahresgebühr Konto 2025;-25,00;EUR;1094,39;;;;

